ID,category,xsection,kfactor,efficiency,name,group,subgroup
407104,Background,67.274,0.22547,1.0,Sherpa_CT10_Zee_LO_Pt70_140_CFilterBVeto,Z+jetsCFilterBVeto,ee
407105,Background,67.357,0.13931,1.0,Sherpa_CT10_Zee_LO_Pt70_140_BFilter,Z+jetsBFilter,ee
407106,Background,10.669,0.61372,1.0,Sherpa_CT10_Zee_LO_Pt140_280_CVetoBVeto,Z+jetsCVetoBVeto,ee
407107,Background,10.644,0.23973,1.0,Sherpa_CT10_Zee_LO_Pt140_280_CFilterBVeto,Z+jetsCFilterBVeto,ee
407108,Background,10.642,0.14572,1.0,Sherpa_CT10_Zee_LO_Pt140_280_BFilter,Z+jetsBFilter,ee
407109,Background,0.78024,0.59131,1.0,Sherpa_CT10_Zee_LO_Pt280_500_CVetoBVeto,Z+jetsCVetoBVeto,ee
407110,Background,0.77752,0.2572,1.0,Sherpa_CT10_Zee_LO_Pt280_500_CFilterBVeto,Z+jetsCFilterBVeto,ee
407111,Background,0.77903,0.1511,1.0,Sherpa_CT10_Zee_LO_Pt280_500_BFilter,Z+jetsBFilter,ee
407112,Background,0.048576,0.57328,1.0,Sherpa_CT10_Zee_LO_Pt500_700_CVetoBVeto,Z+jetsCVetoBVeto,ee
407113,Background,0.048759,0.2698,1.0,Sherpa_CT10_Zee_LO_Pt500_700_CFilterBVeto,Z+jetsCFilterBVeto,ee
407114,Background,0.048644,0.15608,1.0,Sherpa_CT10_Zee_LO_Pt500_700_BFilter,Z+jetsBFilter,ee
407115,Background,0.0087722,0.56077,1.0,Sherpa_CT10_Zee_LO_Pt700_1000_CVetoBVeto,Z+jetsCVetoBVeto,ee
407116,Background,0.0087418,0.27605,1.0,Sherpa_CT10_Zee_LO_Pt700_1000_CFilterBVeto,Z+jetsCFilterBVeto,ee
407117,Background,0.00874,0.16008,1.0,Sherpa_CT10_Zee_LO_Pt700_1000_BFilter,Z+jetsBFilter,ee
407118,Background,0.0011849,0.55239,1.0,Sherpa_CT10_Zee_LO_Pt1000_E_CMS_CVetoBVeto,Z+jetsCVetoBVeto,ee
407119,Background,0.0011946,0.28577,1.0,Sherpa_CT10_Zee_LO_Pt1000_E_CMS_CFilterBVeto,Z+jetsCFilterBVeto,ee
407120,Background,0.0011871,0.16385,1.0,Sherpa_CT10_Zee_LO_Pt1000_E_CMS_BFilter,Z+jetsBFilter,ee
407121,Background,2015.4,0.76957,1.0,Sherpa_CT10_Zmumu_LO_Pt0_70_CVetoBVeto,Z+jetsCVetoBVeto,mumu
407122,Background,2014.5,0.14305,1.0,Sherpa_CT10_Zmumu_LO_Pt0_70_CFilterBVeto,Z+jetsCFilterBVeto,mumu
407123,Background,2015.2,0.086335,1.0,Sherpa_CT10_Zmumu_LO_Pt0_70_BFilter,Z+jetsBFilter,mumu
407124,Background,67.328,0.63491,1.0,Sherpa_CT10_Zmumu_LO_Pt70_140_CVetoBVeto,Z+jetsCVetoBVeto,mumu
407125,Background,67.338,0.22512,1.0,Sherpa_CT10_Zmumu_LO_Pt70_140_CFilterBVeto,Z+jetsCFilterBVeto,mumu
407126,Background,67.323,0.13944,1.0,Sherpa_CT10_Zmumu_LO_Pt70_140_BFilter,Z+jetsBFilter,mumu
407127,Background,10.655,0.61347,1.0,Sherpa_CT10_Zmumu_LO_Pt140_280_CVetoBVeto,Z+jetsCVetoBVeto,mumu
